StudentID,CourseID,Progress,State
73,12,0,Andhra Pradesh
74,12,10,Kerala
75,17,30,Arunachal Pradesh
75,20,20,Bihar
75,22,10,Rajasthan
75,41,90,Uttar Pradesh
75,25,100,Rajasthan
76,48,10,Haryana
76,40,60,Meghalaya
77,15,80,Bihar
77,15,0,Sikkim
77,38,60,Himachal Pradesh
77,41,70,Madhya Pradesh
77,39,10,Rajasthan
78,11,10,Kerala
78,46,100,Odisha
78,3,50,Tripura
78,11,70,Karnataka
79,25,10,Kerala
79,16,70,Tamil Nadu
79,4,30,Assam
79,8,70,Bihar
79,16,50,Rajasthan
80,28,100,Haryana
80,31,100,Jharkhand
81,39,90,Uttar Pradesh
81,21,10,Andhra Pradesh
82,16,40,Rajasthan
82,29,0,Sikkim
83,39,0,Odisha
83,30,70,Nagaland
83,46,30,Gujarat
84,14,30,Meghalaya
85,2,100,Sikkim
85,15,90,Jharkhand
85,3,40,Jharkhand
86,5,70,Karnataka
86,7,80,Meghalaya
86,7,20,Odisha
87,35,90,Goa
87,17,10,Chhattisgarh
88,3,80,Kerala
89,22,50,Odisha
89,24,40,Tripura
89,49,50,Tamil Nadu
90,19,50,Manipur
90,36,50,Andhra Pradesh
90,37,50,Gujarat
90,21,90,Arunachal Pradesh
91,30,90,Himachal Pradesh
91,13,70,Uttarakhand
91,27,20,Assam
91,24,40,Telangana
91,35,90,Madhya Pradesh
92,36,100,Odisha
92,13,20,Telangana
92,30,50,Pradesh
92,31,0,Telangana
93,17,50,Sikkim
93,47,80,Nagaland
93,27,70,Haryana
94,48,40,Mizoram
94,44,100,Pradesh
94,38,20,Kerala
95,27,30,Karnataka
95,38,80,Gujarat
95,31,60,Uttar Pradesh
96,17,60,Uttarakhand
96,29,40,Mizoram
96,44,40,Assam
96,8,90,Bihar
97,22,10,Meghalaya
98,37,90,Haryana
98,12,80,Kerala
99,12,70,Pradesh
100,24,90,Tamil Nadu
100,27,40,Tamil Nadu
100,50,70,Meghalaya
100,43,30,Manipur
100,1,10,Tamil Nadu
101,12,10,Sikkim
101,17,40,Odisha
102,9,80,Sikkim
102,46,60,Rajasthan
102,11,70,Manipur
102,14,90,Meghalaya
103,19,40,Odisha
103,47,50,Gujarat
103,16,10,Arunachal Pradesh
104,47,70,Himachal Pradesh
104,21,0,Goa
105,28,80,Pradesh
105,5,90,Karnataka
105,20,30,Kerala
105,11,10,Sikkim
106,13,30,Goa
106,26,80,Rajasthan
107,13,100,Uttar Pradesh
107,33,40,Punjab
108,37,40,Punjab
108,4,100,Arunachal Pradesh
108,48,100,Arunachal Pradesh
109,33,90,Arunachal Pradesh
109,9,90,Andhra Pradesh
109,41,60,Punjab
109,40,90,Nagaland
110,6,70,Goa
110,9,60,Andhra Pradesh
111,20,80,Himachal Pradesh
111,19,60,Odisha
112,13,10,Himachal Pradesh
112,10,40,Himachal Pradesh
112,46,60,Pradesh
112,48,70,Himachal Pradesh
113,13,20,Karnataka
113,12,20,Bihar
113,22,90,Chhattisgarh
113,10,70,Arunachal Pradesh
113,8,80,Meghalaya
114,13,0,Assam
114,3,90,Telangana
114,32,40,Chhattisgarh
114,30,30,Chhattisgarh
114,43,80,Sikkim
115,21,100,Manipur
115,33,50,Goa
115,41,100,Arunachal Pradesh
116,4,10,Goa
116,34,30,Karnataka
116,1,70,Bihar
116,12,30,Chhattisgarh
116,38,0,Rajasthan
117,16,100,Tamil Nadu
117,41,90,Sikkim
118,43,30,Karnataka
118,43,70,Karnataka
118,43,20,Assam
118,36,100,Punjab
119,27,100,Manipur
119,19,20,Manipur
119,49,50,Nagaland
119,27,100,Andhra Pradesh
119,18,100,Himachal Pradesh
120,19,40,Uttar Pradesh
120,30,60,Manipur
120,6,50,Uttarakhand
121,44,80,Arunachal Pradesh
121,40,100,Telangana
121,24,40,Sikkim
121,20,30,Manipur
122,34,90,Punjab
122,34,70,Pradesh
122,45,60,Haryana
122,1,100,Madhya Pradesh
123,13,70,Nagaland
123,46,20,Sikkim
124,28,40,Jharkhand
124,9,100,Arunachal Pradesh
124,41,60,Himachal Pradesh
124,43,40,Gujarat
125,34,20,Rajasthan
125,11,20,Himachal Pradesh
125,26,80,Sikkim
126,41,20,Himachal Pradesh
126,43,70,Telangana
126,25,50,Arunachal Pradesh
127,19,50,Sikkim
127,42,70,Bihar
127,45,50,Tripura
127,29,20,Meghalaya
128,48,70,Mizoram
129,9,100,Pradesh
129,47,10,Gujarat
129,39,80,Goa
129,38,30,Maharashtra
130,19,100,Pradesh
130,40,40,Uttarakhand
131,13,100,Mizoram
131,1,30,Punjab
132,28,70,Rajasthan
132,1,10,Sikkim
132,20,100,Punjab
132,9,80,Uttar Pradesh
133,30,0,Tripura
134,34,0,Rajasthan
135,32,30,Jharkhand
135,42,60,Assam
135,18,60,Tripura
136,13,20,Mizoram
136,29,20,Karnataka
136,40,50,Assam
137,22,20,Madhya Pradesh
137,47,70,Uttarakhand
137,4,80,Tamil Nadu
137,20,20,Jharkhand
138,15,90,Punjab
138,1,50,Gujarat
138,20,60,Tripura
138,23,10,Sikkim
138,3,90,Meghalaya
139,6,30,Nagaland
139,13,90,Goa
139,33,40,Arunachal Pradesh
140,25,80,Karnataka
141,41,90,Mizoram
141,2,70,Arunachal Pradesh
141,1,90,Pradesh
141,16,40,Gujarat
142,35,90,Tripura
142,33,0,Gujarat
142,31,30,Jharkhand
143,31,80,Jharkhand
143,36,60,Rajasthan
143,45,30,Karnataka
144,8,60,Maharashtra
144,29,90,Madhya Pradesh
144,48,40,Tripura
144,6,20,Maharashtra
144,47,10,Sikkim
145,12,40,Meghalaya
145,19,100,Gujarat
146,46,20,Sikkim
146,17,70,Odisha
146,11,100,Uttar Pradesh
147,6,10,Tripura
147,28,60,Maharashtra
148,43,30,Himachal Pradesh
149,18,70,Mizoram
149,48,70,Karnataka
150,45,50,Jharkhand
150,30,0,Madhya Pradesh
150,48,90,Uttarakhand
150,7,90,Meghalaya
151,40,70,Odisha
151,24,70,Maharashtra
151,46,20,Pradesh
151,29,40,Andhra Pradesh
152,20,80,Odisha
153,39,0,Madhya Pradesh
153,22,0,Haryana
153,5,30,Himachal Pradesh
153,39,0,Himachal Pradesh
154,26,40,Manipur
154,23,100,Mizoram
154,42,80,West Bengal.
154,5,50,Arunachal Pradesh
154,34,90,Andhra Pradesh
155,29,40,Pradesh
155,13,10,Mizoram
155,49,50,Karnataka
156,29,0,Kerala
156,33,90,Punjab
157,7,50,Karnataka
157,27,0,Goa
158,10,80,Uttar Pradesh
158,28,0,Maharashtra
158,14,90,Sikkim
159,42,50,Pradesh
159,2,90,Uttarakhand
159,10,80,Karnataka
160,38,80,Odisha
160,8,20,Uttarakhand
160,2,0,Uttarakhand
161,49,50,Arunachal Pradesh
161,32,30,Haryana
161,6,60,Gujarat
161,24,30,Odisha
162,31,60,Tamil Nadu
162,20,40,Tripura
162,25,20,Nagaland
162,9,0,Bihar
162,43,10,Telangana
163,27,70,Arunachal Pradesh
163,35,90,Telangana
163,13,40,Tripura
164,36,0,Gujarat
164,8,40,Meghalaya
165,7,80,Kerala
166,12,10,Sikkim
166,48,0,Tripura
166,2,20,Gujarat
167,7,0,Punjab
167,8,100,Maharashtra
168,35,10,West Bengal.
168,19,0,Goa
168,15,10,Jharkhand
168,45,60,Rajasthan
168,27,70,Bihar
169,41,30,Jharkhand
170,43,70,Jharkhand
170,7,60,Arunachal Pradesh
170,38,100,Maharashtra
170,1,0,Mizoram
170,18,100,Nagaland
171,41,0,Tamil Nadu
172,40,80,Madhya Pradesh
172,40,90,Uttar Pradesh
172,6,90,Rajasthan
173,4,50,Odisha
174,35,80,Haryana
174,28,90,Haryana
175,33,90,Meghalaya
175,1,70,Manipur
175,50,80,Himachal Pradesh
175,8,20,Karnataka
176,18,30,Madhya Pradesh
176,1,0,Mizoram
176,49,0,Goa
177,26,0,Bihar
177,44,10,Mizoram
177,14,20,Manipur
178,15,60,Pradesh
179,22,60,Nagaland
180,1,70,Mizoram
181,3,80,Rajasthan
181,7,10,Sikkim
181,1,90,Sikkim
181,13,100,Tripura
182,15,0,Telangana
182,23,90,Maharashtra
182,5,60,Madhya Pradesh
182,46,40,Gujarat
182,24,80,Gujarat
183,8,80,Bihar
183,49,0,Kerala
183,24,40,Bihar
184,43,100,Bihar
184,36,0,Kerala
184,16,50,Jharkhand
184,43,40,Tamil Nadu
184,5,40,Gujarat
185,18,20,Rajasthan
185,37,100,Assam
186,47,90,Uttar Pradesh
186,4,0,Uttarakhand
187,21,60,Madhya Pradesh
187,11,40,Telangana
187,49,90,Pradesh
188,31,30,Manipur
188,33,60,Meghalaya
188,2,20,Odisha
188,17,20,Punjab
188,3,90,Bihar
189,2,60,Haryana
189,15,10,Uttar Pradesh
189,50,60,Sikkim
189,4,80,Madhya Pradesh
190,34,0,Kerala
190,17,30,Odisha
190,39,100,Rajasthan
190,12,0,Uttar Pradesh
191,9,30,Gujarat
192,47,10,Uttarakhand
192,16,10,Jharkhand
192,48,100,Tripura
192,50,90,Chhattisgarh
193,50,50,Maharashtra
193,7,30,Meghalaya
193,48,40,Gujarat
194,18,30,Punjab
195,50,100,Haryana
195,50,30,Mizoram
195,36,60,Haryana
195,48,100,Himachal Pradesh
196,30,80,Pradesh
196,37,0,Uttar Pradesh
196,35,80,Assam
196,47,0,Pradesh
196,6,70,Maharashtra
197,47,60,Sikkim
197,31,0,Punjab
197,27,50,Telangana
197,4,40,Jharkhand
198,35,10,Pradesh
198,5,100,Himachal Pradesh
198,24,50,Nagaland
198,28,50,Sikkim
198,19,100,Jharkhand
199,45,20,Jharkhand
199,8,60,Uttarakhand
200,44,60,Telangana
200,14,10,Haryana
200,18,10,Sikkim
200,18,10,Punjab
201,42,0,Bihar
201,43,100,Manipur
201,35,60,Uttar Pradesh
201,33,30,Nagaland
202,36,60,Uttarakhand
202,34,90,Jharkhand
202,37,100,Sikkim
203,23,20,Mizoram
203,1,100,Odisha
203,42,70,Pradesh
204,20,40,Chhattisgarh
204,22,30,Uttarakhand
205,15,20,Gujarat
206,29,10,Arunachal Pradesh
206,5,0,Maharashtra
206,18,20,Manipur
206,17,60,Telangana
207,39,70,Rajasthan
207,39,0,Nagaland
207,7,30,Arunachal Pradesh
208,39,0,Haryana
208,7,50,Tripura
208,14,60,Bihar
208,7,70,Himachal Pradesh
209,49,10,West Bengal.
209,10,70,Gujarat
209,46,90,Assam
210,21,30,Punjab
211,8,30,Assam
212,22,60,Jharkhand
212,34,50,Bihar
213,26,40,Madhya Pradesh
213,29,100,Assam
214,10,10,Tripura
214,9,80,West Bengal.
214,46,100,Jharkhand
215,19,40,Goa
215,31,30,Punjab
216,21,30,Uttar Pradesh
216,32,90,Arunachal Pradesh
216,8,40,Chhattisgarh
216,1,90,Manipur
217,20,60,Chhattisgarh
217,19,20,Rajasthan
217,50,50,Odisha
217,17,100,Chhattisgarh
218,2,0,Arunachal Pradesh
218,37,30,Sikkim
218,29,60,Mizoram
218,17,60,Sikkim
219,20,50,Himachal Pradesh
219,25,40,Sikkim
219,10,60,Karnataka
219,48,10,Arunachal Pradesh
219,20,0,Meghalaya
220,23,60,Tamil Nadu
220,3,20,Uttar Pradesh
221,11,30,Punjab
222,8,50,Madhya Pradesh
222,36,20,Goa
222,42,80,Nagaland
222,6,80,Tamil Nadu
222,16,80,Chhattisgarh
223,10,90,Himachal Pradesh
224,2,50,Manipur
225,31,30,Karnataka
225,12,30,Bihar
225,36,10,Manipur
225,1,60,Arunachal Pradesh
225,48,60,Bihar
226,38,50,Rajasthan
226,42,0,Uttarakhand
226,9,0,Sikkim
226,30,70,Uttar Pradesh
226,6,0,Himachal Pradesh
227,27,0,Andhra Pradesh
228,34,70,Haryana
228,15,10,Uttarakhand
228,6,20,Meghalaya
229,3,50,Tamil Nadu
229,21,100,Rajasthan
230,45,0,Telangana
230,7,20,Chhattisgarh
230,14,80,Meghalaya
231,15,0,Karnataka
231,39,0,Goa
232,21,70,Karnataka
232,44,50,Odisha
232,32,80,Odisha
232,7,90,Rajasthan
232,12,50,Pradesh
233,21,100,Andhra Pradesh
233,28,90,Tripura
233,50,100,Chhattisgarh
233,22,10,Meghalaya
234,1,100,Karnataka
234,12,20,Odisha
234,11,70,Uttarakhand
234,5,80,Sikkim
234,20,50,Mizoram
235,38,30,Sikkim
235,17,30,Goa
235,6,60,Manipur
236,50,20,Meghalaya
236,32,70,Andhra Pradesh
237,31,90,Uttar Pradesh
237,23,70,Goa
237,4,20,Arunachal Pradesh
237,13,100,Manipur
238,26,50,Arunachal Pradesh
238,16,40,Haryana
238,9,100,Himachal Pradesh
238,48,10,West Bengal.
238,23,20,Haryana
239,12,10,Punjab
239,12,100,Sikkim
239,46,10,Manipur
239,11,90,Sikkim
239,10,10,Uttarakhand
240,39,70,Mizoram
240,48,0,Assam
240,9,70,Nagaland
240,43,80,Maharashtra
241,38,40,Meghalaya
241,4,20,Punjab
241,9,0,Goa
241,8,40,Madhya Pradesh
241,23,80,Gujarat
242,34,10,Assam
242,20,30,Nagaland
242,24,60,Mizoram
243,28,80,Tripura
244,40,10,Telangana
245,26,0,Gujarat
246,45,70,Meghalaya
246,6,10,Telangana
246,31,70,Kerala
246,8,90,Chhattisgarh
246,25,90,Meghalaya
247,4,100,Nagaland
247,10,40,Himachal Pradesh
247,31,0,Bihar
247,2,80,Gujarat
248,46,100,Sikkim
248,38,0,Pradesh
249,1,20,Maharashtra
249,4,20,Mizoram
249,48,100,Uttar Pradesh
249,15,90,Odisha
249,25,80,Uttar Pradesh
250,48,90,Jharkhand
250,6,70,Tamil Nadu
251,9,70,Meghalaya
251,32,50,Telangana
251,19,80,Tamil Nadu
251,1,80,West Bengal.
251,4,50,Chhattisgarh
252,10,90,Haryana
252,8,40,Gujarat
253,11,90,Sikkim
253,31,60,Sikkim
254,49,40,Manipur
254,31,80,Manipur
254,32,30,Uttarakhand
255,35,40,Sikkim
255,46,100,Sikkim
255,38,20,Uttarakhand
256,19,60,Gujarat
256,20,80,Bihar
256,48,0,Meghalaya
256,7,50,Assam
256,6,90,Himachal Pradesh
257,22,0,Pradesh
257,9,0,Sikkim
257,6,60,Andhra Pradesh
257,11,10,Jharkhand
257,28,20,Madhya Pradesh
258,22,80,Pradesh
259,13,10,Pradesh
259,26,90,Sikkim
260,14,90,Assam
260,12,100,Chhattisgarh
260,12,0,Pradesh
260,25,70,Madhya Pradesh
260,23,90,Uttar Pradesh
261,42,80,Tripura
261,42,60,Punjab
262,16,70,Kerala
262,4,20,Jharkhand
262,11,0,Chhattisgarh
262,50,80,Assam
262,10,20,Meghalaya
263,8,80,Pradesh
263,21,10,Jharkhand
263,30,30,Odisha
263,3,0,Maharashtra
263,40,40,Karnataka
264,1,70,Madhya Pradesh
264,23,100,Andhra Pradesh
265,42,100,West Bengal.
265,26,50,Rajasthan
265,48,0,Mizoram
265,19,70,Tripura
266,40,80,Uttarakhand
266,8,30,Sikkim
266,17,0,Uttarakhand
267,1,50,Meghalaya
267,33,10,Haryana
267,32,80,Haryana
267,5,10,Uttarakhand
267,12,40,Punjab
268,20,40,Assam
268,41,0,Maharashtra
269,41,80,Karnataka
269,12,70,Tripura
269,2,80,Odisha
269,32,80,Arunachal Pradesh
269,31,70,Assam
270,3,70,Sikkim
270,15,70,Sikkim
270,20,20,Jharkhand
270,4,30,Jharkhand
271,49,90,Himachal Pradesh
271,16,70,Karnataka
271,12,40,Tamil Nadu
271,14,60,Odisha
271,41,60,West Bengal.
272,29,10,Jharkhand
272,32,0,Assam
272,31,0,Goa
273,39,10,Sikkim
273,37,50,Manipur
273,35,20,Kerala
273,48,70,Sikkim
273,47,20,Gujarat
274,46,40,Madhya Pradesh
274,20,70,Goa
274,3,20,Tripura
274,27,0,Haryana
274,42,50,Rajasthan
275,45,30,Mizoram
275,32,20,Andhra Pradesh
275,3,0,Andhra Pradesh
276,32,100,Bihar
276,35,0,Andhra Pradesh
276,46,20,Madhya Pradesh
276,42,20,Kerala
276,12,80,Tripura
277,19,30,Telangana
277,31,20,Punjab
277,10,20,Andhra Pradesh
278,13,60,Chhattisgarh
278,33,100,Andhra Pradesh
278,17,40,Rajasthan
279,28,0,Jharkhand
279,44,60,Haryana
279,29,60,Andhra Pradesh
279,46,40,Maharashtra
280,13,80,Punjab
280,5,0,Mizoram
280,28,10,Punjab
280,15,90,Nagaland
280,14,40,Telangana
281,28,40,West Bengal.
281,13,10,Haryana
281,18,40,Assam
282,32,60,Karnataka
283,49,0,Nagaland
284,18,60,Sikkim
284,15,0,Arunachal Pradesh
285,41,30,Haryana
285,8,100,Himachal Pradesh
285,12,90,West Bengal.
285,9,10,Goa
286,28,80,Tamil Nadu
286,42,40,Tamil Nadu
287,49,30,Madhya Pradesh
287,22,20,Uttar Pradesh
288,33,0,Arunachal Pradesh
288,48,80,Arunachal Pradesh
288,29,50,Bihar
288,17,50,Arunachal Pradesh
289,28,50,Tamil Nadu
289,28,0,Uttarakhand
289,45,70,Manipur
290,49,60,Andhra Pradesh
290,38,80,Madhya Pradesh
291,50,60,Andhra Pradesh
291,36,70,Uttar Pradesh
292,15,30,Gujarat
292,3,70,Uttarakhand
292,42,100,Arunachal Pradesh
292,27,20,Goa
293,25,10,Arunachal Pradesh
293,33,80,Nagaland
293,32,60,Meghalaya
293,10,20,Andhra Pradesh
293,48,0,Manipur
294,43,30,Telangana
294,5,10,Jharkhand
295,2,60,Goa
295,14,80,Karnataka
295,36,0,Goa
295,34,90,Telangana
296,48,80,Tamil Nadu
296,3,0,Manipur
296,50,70,Tamil Nadu
296,20,100,Maharashtra
296,45,10,Odisha
297,43,10,Rajasthan
297,14,50,Arunachal Pradesh
297,31,30,Telangana
297,8,80,Himachal Pradesh
297,24,100,Punjab
298,21,0,Andhra Pradesh
298,39,50,Nagaland
298,37,40,Assam
298,9,0,Nagaland
298,27,80,Rajasthan
299,1,50,Sikkim
299,47,40,West Bengal.
300,33,90,Odisha
300,28,50,Arunachal Pradesh
300,40,60,Rajasthan
301,5,30,Himachal Pradesh
301,43,60,Assam
301,46,100,Rajasthan
301,6,50,Chhattisgarh
301,34,80,Karnataka
302,26,10,Tripura
302,48,0,Karnataka
302,16,0,Arunachal Pradesh
303,30,20,Andhra Pradesh
303,50,0,Uttar Pradesh
304,37,70,West Bengal.
304,37,100,Uttar Pradesh
304,44,30,Uttar Pradesh
304,47,20,Mizoram
305,25,60,Gujarat
306,44,70,Mizoram
307,49,90,Jharkhand
307,36,0,West Bengal.
307,24,50,Telangana
307,9,30,Tripura
307,17,40,Punjab
308,35,30,Arunachal Pradesh
308,50,50,Madhya Pradesh
308,11,20,Uttar Pradesh
309,16,50,Meghalaya
309,48,30,Assam
309,50,60,Goa
309,35,100,Bihar
310,38,20,Telangana
310,6,60,Kerala
310,13,10,Pradesh
310,9,70,Telangana
310,10,10,Tamil Nadu
311,47,20,Assam
311,5,80,Himachal Pradesh
311,48,50,Madhya Pradesh
312,39,20,Goa
313,1,30,Tamil Nadu
313,31,100,Goa
314,3,40,Pradesh
315,6,20,Uttar Pradesh
315,42,80,Karnataka
315,23,30,Arunachal Pradesh
315,23,70,Arunachal Pradesh
316,30,30,Andhra Pradesh
316,20,60,Madhya Pradesh
316,45,100,Assam
316,44,10,Himachal Pradesh
317,8,0,Maharashtra
318,28,50,West Bengal.
318,43,70,Meghalaya
319,27,60,Mizoram
320,24,50,Chhattisgarh
321,25,30,Assam
321,28,100,Sikkim
321,12,30,Uttarakhand
321,3,90,Nagaland
322,27,90,Uttar Pradesh
322,39,60,Odisha
322,43,80,Assam
322,40,0,Uttarakhand
322,42,40,Nagaland
323,3,60,Maharashtra
323,17,50,Telangana
323,17,20,Himachal Pradesh
323,44,50,Jharkhand
324,5,70,Mizoram
324,22,0,Goa
325,28,0,Odisha
325,33,90,Uttar Pradesh
326,40,20,Sikkim
326,14,10,Nagaland
326,12,10,Himachal Pradesh
326,49,90,Karnataka
327,35,70,Telangana
327,45,50,Karnataka
327,4,50,West Bengal.
327,24,50,Bihar
328,42,40,Assam
329,37,60,Andhra Pradesh
329,18,0,Telangana
330,49,30,Maharashtra
330,44,30,Arunachal Pradesh
331,28,10,Meghalaya
331,42,20,Uttar Pradesh
331,12,0,Nagaland
331,45,10,Odisha
332,50,30,Haryana
332,41,30,Uttar Pradesh
333,49,40,West Bengal.
333,9,0,Uttarakhand
334,43,30,Andhra Pradesh
335,10,20,Karnataka
336,49,90,Karnataka
336,46,100,Uttar Pradesh
337,29,90,Tamil Nadu
337,13,40,Pradesh
337,10,40,Odisha
338,13,40,Tamil Nadu
338,16,0,Sikkim
338,21,30,Chhattisgarh
339,28,80,Assam
339,12,50,Kerala
339,29,40,Bihar
339,41,20,Maharashtra
340,45,80,Telangana
341,7,70,Uttar Pradesh
341,34,70,Madhya Pradesh
341,10,0,Arunachal Pradesh
341,26,70,Maharashtra
342,31,100,Gujarat
343,49,80,Bihar
343,31,80,Bihar
344,9,50,Karnataka
344,37,100,Odisha
344,17,50,Madhya Pradesh
345,25,0,Rajasthan
345,20,30,Andhra Pradesh
346,30,90,Odisha
347,9,90,Meghalaya
347,39,70,Gujarat
347,28,70,Maharashtra
347,49,100,Kerala
347,49,30,Himachal Pradesh
348,33,50,Chhattisgarh
348,36,0,Meghalaya
348,28,20,Pradesh
349,20,10,Meghalaya
349,37,10,Himachal Pradesh
350,11,30,Jharkhand
350,45,30,Pradesh
350,9,10,Madhya Pradesh
350,4,10,Mizoram
351,27,80,Manipur
351,1,100,Uttar Pradesh
352,17,80,Nagaland
352,45,70,Jharkhand
352,46,60,Odisha
352,8,0,Meghalaya
353,49,10,Manipur
353,33,20,Kerala
354,12,20,Gujarat
354,31,0,Jharkhand
354,15,100,Himachal Pradesh
355,38,40,Mizoram
356,43,80,Bihar
356,48,30,Goa
356,18,70,Madhya Pradesh
356,34,60,Jharkhand
357,34,70,Maharashtra
357,46,100,Pradesh
357,50,100,Assam
358,42,90,Assam
358,30,50,Jharkhand
358,41,50,Uttarakhand
358,15,90,Telangana
359,49,70,Himachal Pradesh
359,39,40,Rajasthan
359,19,0,Jharkhand
359,34,0,Bihar
