StudentID,State,Region,,,,,,,,,,,,,,,,
27,Punjab,NORTHERN REGION,,,,,,,,,,,,,,,,
27,Sikkim,EASTERN REGION,,,,,,,,,,,,,,,,
27,Assam,EASTERN REGION,,,,,,,,,,,,,,,,
28,Bihar,EASTERN REGION,,,,,,,,,,,,,,,,
28,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
28,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
29,Andhra Pradesh,SOUTHERN REGION,,,,,,,,,,,,,,,,
29,Tamil Nadu,SOUTHERN REGION,,,,,,,,,,,,,,,,
29,Andhra Pradesh,SOUTHERN REGION,,,,,,,,,,,,,,,,
29,Arunachal Pradesh,EASTERN REGION,,,,,,,,,,,,,,,,
29,Gujarat,WESTERN REGION,,,,,,,,,,,,,,,,
30,Himachal Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
30,Madhya Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
31,Bihar,EASTERN REGION,,,,,,,,,,,,,,,,
32,Rajasthan,NORTHERN REGION,,,,,,,,,,,,,,,,
32,Odisha,EASTERN REGION,,,,,,,,,,,,,,,,
32,Kerala,SOUTHERN REGION,,,,,,,,,,,,,,,,
32,Arunachal Pradesh,EASTERN REGION,,,,,,,,,,,,,,,,
32,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
33,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
33,Rajasthan,NORTHERN REGION,,,,,,,,,,,,,,,,
34,Odisha,EASTERN REGION,,,,,,,,,,,,,,,,
34,Punjab,NORTHERN REGION,,,,,,,,,,,,,,,,
35,Odisha,EASTERN REGION,,,,,,,,,,,,,,,,
35,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
35,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
35,Haryana,NORTHERN REGION,,,,,,,,,,,,,,,,
35,Maharashtra,WESTERN REGION,,,,,,,,,,,,,,,,
36,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
37,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
37,Manipur,EASTERN REGION,,,,,,,,,,,,,,,,
38,Tamil Nadu,SOUTHERN REGION,,,,,,,,,,,,,,,,
38,Sikkim,EASTERN REGION,,,,,,,,,,,,,,,,
38,Goa,WESTERN REGION,,,,,,,,,,,,,,,,
38,Goa,WESTERN REGION,,,,,,,,,,,,,,,,
39,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
39,Arunachal Pradesh,EASTERN REGION,,,,,,,,,,,,,,,,
39,Himachal Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
40,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
40,Assam,EASTERN REGION,,,,,,,,,,,,,,,,
40,Uttar Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
40,Madhya Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
40,Haryana,NORTHERN REGION,,,,,,,,,,,,,,,,
41,Chhattisgarh,NORTHERN REGION,,,,,,,,,,,,,,,,
41,Maharashtra,WESTERN REGION,,,,,,,,,,,,,,,,
42,Gujarat,WESTERN REGION,,,,,,,,,,,,,,,,
42,Madhya Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
43,Rajasthan,NORTHERN REGION,,,,,,,,,,,,,,,,
43,Kerala,SOUTHERN REGION,,,,,,,,,,,,,,,,
44,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
45,Gujarat,WESTERN REGION,,,,,,,,,,,,,,,,
45,Meghalaya,EASTERN REGION,,,,,,,,,,,,,,,,
46,Madhya Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
46,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
47,Assam,EASTERN REGION,,,,,,,,,,,,,,,,
47,West Bengal,EASTERN REGION,,,,,,,,,,,,,,,,
47,Rajasthan,NORTHERN REGION,,,,,,,,,,,,,,,,
47,Uttar Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
47,Uttar Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
48,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
48,Tamil Nadu,SOUTHERN REGION,,,,,,,,,,,,,,,,
49,Meghalaya,EASTERN REGION,,,,,,,,,,,,,,,,
49,Arunachal Pradesh,EASTERN REGION,,,,,,,,,,,,,,,,
49,Haryana,NORTHERN REGION,,,,,,,,,,,,,,,,
49,Chhattisgarh,NORTHERN REGION,,,,,,,,,,,,,,,,
50,Kerala,SOUTHERN REGION,,,,,,,,,,,,,,,,
50,Madhya Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
50,Punjab,NORTHERN REGION,,,,,,,,,,,,,,,,
51,Manipur,EASTERN REGION,,,,,,,,,,,,,,,,
51,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
52,Meghalaya,EASTERN REGION,,,,,,,,,,,,,,,,
52,West Bengal,EASTERN REGION,,,,,,,,,,,,,,,,
52,Uttaranchal ,NORTHERN REGION,,,,,,,,,,,,,,,,
53,Andhra Pradesh,SOUTHERN REGION,,,,,,,,,,,,,,,,
53,Sikkim,EASTERN REGION,,,,,,,,,,,,,,,,
53,Chhattisgarh,NORTHERN REGION,,,,,,,,,,,,,,,,
54,Sikkim,EASTERN REGION,,,,,,,,,,,,,,,,
54,Uttaranchal ,NORTHERN REGION,,,,,,,,,,,,,,,,
54,Tripura,EASTERN REGION,,,,,,,,,,,,,,,,
54,Tamil Nadu,SOUTHERN REGION,,,,,,,,,,,,,,,,
55,Meghalaya,EASTERN REGION,,,,,,,,,,,,,,,,
55,Rajasthan,NORTHERN REGION,,,,,,,,,,,,,,,,
55,Chhattisgarh,NORTHERN REGION,,,,,,,,,,,,,,,,
55,Haryana,NORTHERN REGION,,,,,,,,,,,,,,,,
55,West Bengal,EASTERN REGION,,,,,,,,,,,,,,,,
56,Odisha,EASTERN REGION,,,,,,,,,,,,,,,,
56,Maharashtra,WESTERN REGION,,,,,,,,,,,,,,,,
57,Sikkim,EASTERN REGION,,,,,,,,,,,,,,,,
58,Haryana,NORTHERN REGION,,,,,,,,,,,,,,,,
59,Assam,EASTERN REGION,,,,,,,,,,,,,,,,
59,Uttaranchal ,NORTHERN REGION,,,,,,,,,,,,,,,,
59,Goa,WESTERN REGION,,,,,,,,,,,,,,,,
59,Tripura,EASTERN REGION,,,,,,,,,,,,,,,,
59,Himachal Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
60,Andhra Pradesh,SOUTHERN REGION,,,,,,,,,,,,,,,,
60,Rajasthan,NORTHERN REGION,,,,,,,,,,,,,,,,
60,Goa,WESTERN REGION,,,,,,,,,,,,,,,,
60,Himachal Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
61,Odisha,EASTERN REGION,,,,,,,,,,,,,,,,
62,Karnataka,SOUTHERN REGION,,,,,,,,,,,,,,,,
62,Gujarat,WESTERN REGION,,,,,,,,,,,,,,,,
62,Bihar,EASTERN REGION,,,,,,,,,,,,,,,,
63,Goa,WESTERN REGION,,,,,,,,,,,,,,,,
64,Assam,EASTERN REGION,,,,,,,,,,,,,,,,
64,Madhya Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
64,Kerala,SOUTHERN REGION,,,,,,,,,,,,,,,,
64,Bihar,EASTERN REGION,,,,,,,,,,,,,,,,
65,Odisha,EASTERN REGION,,,,,,,,,,,,,,,,
65,Madhya Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
65,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
66,Sikkim,EASTERN REGION,,,,,,,,,,,,,,,,
67,Sikkim,EASTERN REGION,,,,,,,,,,,,,,,,
67,Punjab,NORTHERN REGION,,,,,,,,,,,,,,,,
67,Sikkim,EASTERN REGION,,,,,,,,,,,,,,,,
68,Bihar,EASTERN REGION,,,,,,,,,,,,,,,,
68,Haryana,NORTHERN REGION,,,,,,,,,,,,,,,,
69,West Bengal,EASTERN REGION,,,,,,,,,,,,,,,,
69,Uttaranchal ,NORTHERN REGION,,,,,,,,,,,,,,,,
69,Sikkim,EASTERN REGION,,,,,,,,,,,,,,,,
69,Meghalaya,EASTERN REGION,,,,,,,,,,,,,,,,
70,Tamil Nadu,SOUTHERN REGION,,,,,,,,,,,,,,,,
71,Uttaranchal ,NORTHERN REGION,,,,,,,,,,,,,,,,
71,Andhra Pradesh,SOUTHERN REGION,,,,,,,,,,,,,,,,
71,Bihar,EASTERN REGION,,,,,,,,,,,,,,,,
71,Andhra Pradesh,SOUTHERN REGION,,,,,,,,,,,,,,,,
72,Andhra Pradesh,SOUTHERN REGION,,,,,,,,,,,,,,,,
72,Odisha,EASTERN REGION,,,,,,,,,,,,,,,,
73,Himachal Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
73,Punjab,NORTHERN REGION,,,,,,,,,,,,,,,,
73,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
73,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
73,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
74,Goa,WESTERN REGION,,,,,,,,,,,,,,,,
75,Chhattisgarh,NORTHERN REGION,,,,,,,,,,,,,,,,
75,Andhra Pradesh,SOUTHERN REGION,,,,,,,,,,,,,,,,
75,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
75,Tripura,EASTERN REGION,,,,,,,,,,,,,,,,
75,West Bengal,EASTERN REGION,,,,,,,,,,,,,,,,
76,Odisha,EASTERN REGION,,,,,,,,,,,,,,,,
76,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
77,Odisha,EASTERN REGION,,,,,,,,,,,,,,,,
77,Rajasthan,NORTHERN REGION,,,,,,,,,,,,,,,,
77,Bihar,EASTERN REGION,,,,,,,,,,,,,,,,
77,Uttar Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
77,Manipur,EASTERN REGION,,,,,,,,,,,,,,,,
78,Meghalaya,EASTERN REGION,,,,,,,,,,,,,,,,
78,Kerala,SOUTHERN REGION,,,,,,,,,,,,,,,,
78,Uttar Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
78,Meghalaya,EASTERN REGION,,,,,,,,,,,,,,,,
79,Haryana,NORTHERN REGION,,,,,,,,,,,,,,,,
79,Chhattisgarh,NORTHERN REGION,,,,,,,,,,,,,,,,
79,Gujarat,WESTERN REGION,,,,,,,,,,,,,,,,
79,Haryana,NORTHERN REGION,,,,,,,,,,,,,,,,
79,Assam,EASTERN REGION,,,,,,,,,,,,,,,,
80,Sikkim,EASTERN REGION,,,,,,,,,,,,,,,,
80,Tamil Nadu,SOUTHERN REGION,,,,,,,,,,,,,,,,
81,Punjab,NORTHERN REGION,,,,,,,,,,,,,,,,
81,Haryana,NORTHERN REGION,,,,,,,,,,,,,,,,
82,Tripura,EASTERN REGION,,,,,,,,,,,,,,,,
82,Kerala,SOUTHERN REGION,,,,,,,,,,,,,,,,
83,Odisha,EASTERN REGION,,,,,,,,,,,,,,,,
83,Punjab,NORTHERN REGION,,,,,,,,,,,,,,,,
83,Meghalaya,EASTERN REGION,,,,,,,,,,,,,,,,
84,Gujarat,WESTERN REGION,,,,,,,,,,,,,,,,
85,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
85,Sikkim,EASTERN REGION,,,,,,,,,,,,,,,,
85,Goa,WESTERN REGION,,,,,,,,,,,,,,,,
86,Uttaranchal ,NORTHERN REGION,,,,,,,,,,,,,,,,
86,Arunachal Pradesh,EASTERN REGION,,,,,,,,,,,,,,,,
86,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
87,Karnataka,SOUTHERN REGION,,,,,,,,,,,,,,,,
87,Tripura,EASTERN REGION,,,,,,,,,,,,,,,,
88,Haryana,NORTHERN REGION,,,,,,,,,,,,,,,,
89,Sikkim,EASTERN REGION,,,,,,,,,,,,,,,,
89,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
89,Uttar Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
90,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
90,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
90,Uttar Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
90,Manipur,EASTERN REGION,,,,,,,,,,,,,,,,
91,Assam,EASTERN REGION,,,,,,,,,,,,,,,,
91,Uttaranchal ,NORTHERN REGION,,,,,,,,,,,,,,,,
91,Uttaranchal ,NORTHERN REGION,,,,,,,,,,,,,,,,
91,Uttar Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
91,Kerala,SOUTHERN REGION,,,,,,,,,,,,,,,,
92,Sikkim,EASTERN REGION,,,,,,,,,,,,,,,,
92,Punjab,NORTHERN REGION,,,,,,,,,,,,,,,,
92,Sikkim,EASTERN REGION,,,,,,,,,,,,,,,,
92,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
93,Gujarat,WESTERN REGION,,,,,,,,,,,,,,,,
93,Chhattisgarh,NORTHERN REGION,,,,,,,,,,,,,,,,
93,Gujarat,WESTERN REGION,,,,,,,,,,,,,,,,
94,Arunachal Pradesh,EASTERN REGION,,,,,,,,,,,,,,,,
94,Tamil Nadu,SOUTHERN REGION,,,,,,,,,,,,,,,,
94,Manipur,EASTERN REGION,,,,,,,,,,,,,,,,
95,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
95,Nagaland,EASTERN REGION,,,,,,,,,,,,,,,,
95,Gujarat,WESTERN REGION,,,,,,,,,,,,,,,,
96,Andhra Pradesh,SOUTHERN REGION,,,,,,,,,,,,,,,,
96,Rajasthan,NORTHERN REGION,,,,,,,,,,,,,,,,
96,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
96,Uttaranchal ,NORTHERN REGION,,,,,,,,,,,,,,,,
97,Punjab,NORTHERN REGION,,,,,,,,,,,,,,,,
98,Assam,EASTERN REGION,,,,,,,,,,,,,,,,
98,Arunachal Pradesh,EASTERN REGION,,,,,,,,,,,,,,,,
99,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
100,Arunachal Pradesh,EASTERN REGION,,,,,,,,,,,,,,,,
100,Chhattisgarh,NORTHERN REGION,,,,,,,,,,,,,,,,
100,Nagaland,EASTERN REGION,,,,,,,,,,,,,,,,
100,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
100,West Bengal,EASTERN REGION,,,,,,,,,,,,,,,,
101,Himachal Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
101,West Bengal,EASTERN REGION,,,,,,,,,,,,,,,,
102,Odisha,EASTERN REGION,,,,,,,,,,,,,,,,
102,Haryana,NORTHERN REGION,,,,,,,,,,,,,,,,
102,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
102,Bihar,EASTERN REGION,,,,,,,,,,,,,,,,
103,Tripura,EASTERN REGION,,,,,,,,,,,,,,,,
103,Andhra Pradesh,SOUTHERN REGION,,,,,,,,,,,,,,,,
103,Himachal Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
104,Tamil Nadu,SOUTHERN REGION,,,,,,,,,,,,,,,,
104,Uttaranchal ,NORTHERN REGION,,,,,,,,,,,,,,,,
105,Karnataka,SOUTHERN REGION,,,,,,,,,,,,,,,,
105,Uttaranchal ,NORTHERN REGION,,,,,,,,,,,,,,,,
105,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
105,Himachal Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
106,Kerala,SOUTHERN REGION,,,,,,,,,,,,,,,,
106,Maharashtra,WESTERN REGION,,,,,,,,,,,,,,,,
107,Tripura,EASTERN REGION,,,,,,,,,,,,,,,,
107,Rajasthan,NORTHERN REGION,,,,,,,,,,,,,,,,
108,Uttar Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
108,Bihar,EASTERN REGION,,,,,,,,,,,,,,,,
108,Andhra Pradesh,SOUTHERN REGION,,,,,,,,,,,,,,,,
109,Himachal Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
109,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
109,Nagaland,EASTERN REGION,,,,,,,,,,,,,,,,
109,Tamil Nadu,SOUTHERN REGION,,,,,,,,,,,,,,,,
110,Andhra Pradesh,SOUTHERN REGION,,,,,,,,,,,,,,,,
110,Gujarat,WESTERN REGION,,,,,,,,,,,,,,,,
111,Uttar Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
111,Tamil Nadu,SOUTHERN REGION,,,,,,,,,,,,,,,,
112,Punjab,NORTHERN REGION,,,,,,,,,,,,,,,,
112,Madhya Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
112,Manipur,EASTERN REGION,,,,,,,,,,,,,,,,
112,Rajasthan,NORTHERN REGION,,,,,,,,,,,,,,,,
113,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
113,Arunachal Pradesh,EASTERN REGION,,,,,,,,,,,,,,,,
113,Himachal Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
113,Odisha,EASTERN REGION,,,,,,,,,,,,,,,,
113,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
114,Manipur,EASTERN REGION,,,,,,,,,,,,,,,,
114,Assam,EASTERN REGION,,,,,,,,,,,,,,,,
114,Himachal Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
114,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
114,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
115,Nagaland,EASTERN REGION,,,,,,,,,,,,,,,,
115,West Bengal,EASTERN REGION,,,,,,,,,,,,,,,,
115,Himachal Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
116,Kerala,SOUTHERN REGION,,,,,,,,,,,,,,,,
116,Manipur,EASTERN REGION,,,,,,,,,,,,,,,,
116,Assam,EASTERN REGION,,,,,,,,,,,,,,,,
116,Tripura,EASTERN REGION,,,,,,,,,,,,,,,,
116,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
117,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
117,Rajasthan,NORTHERN REGION,,,,,,,,,,,,,,,,
118,Tripura,EASTERN REGION,,,,,,,,,,,,,,,,
118,Karnataka,SOUTHERN REGION,,,,,,,,,,,,,,,,
118,Gujarat,WESTERN REGION,,,,,,,,,,,,,,,,
118,Odisha,EASTERN REGION,,,,,,,,,,,,,,,,
119,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
119,Sikkim,EASTERN REGION,,,,,,,,,,,,,,,,
119,Punjab,NORTHERN REGION,,,,,,,,,,,,,,,,
119,Uttaranchal ,NORTHERN REGION,,,,,,,,,,,,,,,,
119,Maharashtra,WESTERN REGION,,,,,,,,,,,,,,,,
120,Goa,WESTERN REGION,,,,,,,,,,,,,,,,
120,Andhra Pradesh,SOUTHERN REGION,,,,,,,,,,,,,,,,
120,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
121,Kerala,SOUTHERN REGION,,,,,,,,,,,,,,,,
121,Haryana,NORTHERN REGION,,,,,,,,,,,,,,,,
121,Andhra Pradesh,SOUTHERN REGION,,,,,,,,,,,,,,,,
121,Arunachal Pradesh,EASTERN REGION,,,,,,,,,,,,,,,,
122,Assam,EASTERN REGION,,,,,,,,,,,,,,,,
122,Meghalaya,EASTERN REGION,,,,,,,,,,,,,,,,
122,Manipur,EASTERN REGION,,,,,,,,,,,,,,,,
122,Andhra Pradesh,SOUTHERN REGION,,,,,,,,,,,,,,,,
123,Himachal Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
123,Uttar Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
124,Karnataka,SOUTHERN REGION,,,,,,,,,,,,,,,,
124,Bihar,EASTERN REGION,,,,,,,,,,,,,,,,
124,Maharashtra,WESTERN REGION,,,,,,,,,,,,,,,,
124,Sikkim,EASTERN REGION,,,,,,,,,,,,,,,,
125,Tamil Nadu,SOUTHERN REGION,,,,,,,,,,,,,,,,
125,Tripura,EASTERN REGION,,,,,,,,,,,,,,,,
125,Odisha,EASTERN REGION,,,,,,,,,,,,,,,,
126,Arunachal Pradesh,EASTERN REGION,,,,,,,,,,,,,,,,
126,Uttaranchal ,NORTHERN REGION,,,,,,,,,,,,,,,,
126,Meghalaya,EASTERN REGION,,,,,,,,,,,,,,,,
127,Bihar,EASTERN REGION,,,,,,,,,,,,,,,,
127,Odisha,EASTERN REGION,,,,,,,,,,,,,,,,
127,Rajasthan,NORTHERN REGION,,,,,,,,,,,,,,,,
127,Sikkim,EASTERN REGION,,,,,,,,,,,,,,,,
128,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
129,Chhattisgarh,NORTHERN REGION,,,,,,,,,,,,,,,,
129,Haryana,NORTHERN REGION,,,,,,,,,,,,,,,,
129,Kerala,SOUTHERN REGION,,,,,,,,,,,,,,,,
129,Punjab,NORTHERN REGION,,,,,,,,,,,,,,,,
130,Maharashtra,WESTERN REGION,,,,,,,,,,,,,,,,
130,Chhattisgarh,NORTHERN REGION,,,,,,,,,,,,,,,,
131,Karnataka,SOUTHERN REGION,,,,,,,,,,,,,,,,
131,Rajasthan,NORTHERN REGION,,,,,,,,,,,,,,,,
132,Goa,WESTERN REGION,,,,,,,,,,,,,,,,
132,Karnataka,SOUTHERN REGION,,,,,,,,,,,,,,,,
132,Punjab,NORTHERN REGION,,,,,,,,,,,,,,,,
132,Meghalaya,EASTERN REGION,,,,,,,,,,,,,,,,
133,Tripura,EASTERN REGION,,,,,,,,,,,,,,,,
